confidence, f1_score, recall, precision
0.9996525645256042, 6.975689721321194e-05, 3.487966515521451e-05, 1.0
0.9996488690376282, 0.00013950892857142854, 6.975933031042901e-05, 1.0
0.9996358752250671, 0.00020925609458375479, 0.00010463899546564353, 1.0
0.9996307492256165, 0.00027899839575922436, 0.00013951866062085803, 1.0
0.9996289014816284, 0.0003487358326068004, 0.00017439832577607255, 1.0
0.9996266961097717, 0.00041846840563537454, 0.00020927799093128707, 1.0
0.9996215105056763, 0.00048819611535376786, 0.0002441576560865016, 1.0
0.9996156692504883, 0.0005579189622707301, 0.00027903732124171605, 1.0
0.9996142387390137, 0.0006276369468949406, 0.0003139169863969306, 1.0
0.9996041059494019, 0.0006973500697350071, 0.0003487966515521451, 1.0
0.9996016025543213, 0.0007670583312994666, 0.0003836763167073596, 1.0
0.9995986819267273, 0.0008367617320967854, 0.00041855598186257414, 1.0
0.9995981454849243, 0.0009064602726353589, 0.00045343564701778866, 1.0
0.999595046043396, 0.0009761539534235114, 0.0004883153121730032, 1.0
0.999595046043396, 0.0010458427749694963, 0.0005231949773282176, 1.0
0.9995891451835632, 0.0011155267377814962, 0.0005580746424834321, 1.0
0.9995859861373901, 0.001185205842367623, 0.0005929543076386467, 1.0
0.9995853900909424, 0.0012548800892359174, 0.0006278339727938611, 1.0
0.9995837211608887, 0.0013245494788943497, 0.0006627136379490757, 1.0
0.999581515789032, 0.001394214011850819, 0.0006975933031042902, 1.0
0.9995803236961365, 0.001463873688613154, 0.0007324729682595047, 1.0
0.9995800852775574, 0.001533528509689112, 0.0007673526334147192, 1.0
0.999579131603241, 0.00160317847558638, 0.0008022322985699337, 1.0
0.9995790123939514, 0.0016728235868125742, 0.0008371119637251483, 1.0
0.9995781183242798, 0.0017424638438752395, 0.0008719916288803627, 1.0
0.9995763897895813, 0.001812099247281851, 0.0009068712940355773, 1.0
0.999574601650238, 0.0018817297975398128, 0.0009417509591907918, 1.0
0.999573290348053, 0.0019513554951564572, 0.0009766306243460064, 1.0
0.9995731115341187, 0.0020209763406390468, 0.0010115102895012207, 1.0
0.9995725750923157, 0.0020905923344947735, 0.0010463899546564353, 1.0
0.9995710849761963, 0.0021602034772307587, 0.0010812696198116499, 1.0
0.9995704293251038, 0.0022298097693540515, 0.0011161492849668642, 1.0
0.999569833278656, 0.0022994112113716336, 0.0011510289501220788, 1.0
0.9995693564414978, 0.0023690078037904125, 0.0011859086152772934, 1.0
0.9995667338371277, 0.002438599547117227, 0.001220788280432508, 1.0
0.9995654821395874, 0.0025081864418588446, 0.0012556679455877223, 1.0
0.999563992023468, 0.002577768488521963, 0.0012905476107429369, 1.0
0.9995618462562561, 0.0026473456876132087, 0.0013254272758981514, 1.0
0.999561607837677, 0.0027169180396391375, 0.0013603069410533658, 1.0
0.9995589852333069, 0.002786485545106235, 0.0013951866062085804, 1.0
0.9995577931404114, 0.0028560482045209153, 0.001430066271363795, 1.0
0.9995567202568054, 0.0029256060183895233, 0.0014649459365190093, 1.0
0.9995546936988831, 0.002995158987218333, 0.0014998256016742239, 1.0
0.9995514750480652, 0.0030647071115135474, 0.0015347052668294385, 1.0
0.9995500445365906, 0.0031342503917812996, 0.001569584931984653, 1.0
0.9995484948158264, 0.00320378882852765, 0.0016044645971398674, 1.0
0.999544084072113, 0.0032733224222585926, 0.001639344262295082, 1.0
0.9995412230491638, 0.0033428511734800476, 0.0016742239274502965, 1.0
